patient,Q7Z6I8_N,Q7Z6I8_C,Q7Z6I8.2_N,Q7Z6I8.2_C
1,1.69123420732836,2.0181118400766,1.01668461538462,2.31415384615385
2,2.39039648745338,2.09243948677374,1.2839,1.18566923076923
3,2.37237623261642,2.06541625674148,1.16703076923077,1.48081538461538
4,1.94317376104184,2.0846637752069,1.06584615384615,1.11526153846154
9,1.08005257769627,0.867149095824719,0,0
10,1.25089156784029,1.06652759570273,0,0
11,1.04924489602947,1.17019227514105,0,0
12,1.27830107735248,1.02547053185889,0,0
13,1.61751243722781,1.65039675944668,0,0
14,2.29827761604091,2.44045091417495,0,0
15,3.67809721314931,2.03696954565082,0,0
16,2.14896089214111,2.2630312189656,0,0
21,0.977519857865913,0.773316075357116,0,0
22,1.16864787419587,0.889446177704241,0,0
23,1.16278667472582,1.1974450868699,0,0
24,0.965226602519095,0.924826046519201,0,0
37,0.917544290919358,0.914054076419634,0,0
38,0.694808245084128,1.22378505730621,0,0
39,0.858217946128028,1.38955077483249,0,0
40,0.477794301263438,1.15864899005265,0,0
41,1.05782946428074,0.948831477340531,0,0
42,1.28932018803428,1.32700511350646,0,0
43,0.915055568257226,1.17399584004818,0,0
44,1.03452592720642,1.14569032337213,0,0
49,0.326736717397953,0.709813426046018,0,0
50,0.815441230559567,0.779878353317408,0,0
51,1.39807347583521,1.44009617134295,0,0
52,0.654923361041314,1.27200151767981,0,0
53,2.1250442972168,2.41031675626772,0,0
54,1.41514965866516,2.03517608439628,0,0
55,1.56930702687302,3.53283134767324,0,0
56,1.57099882501464,2.74228634410269,0,0
57,1.78063832620531,2.89660987431137,0,0
58,1.7485149280795,2.56649447716478,0,0
59,1.74599068881369,1.96174480323677,0,0
60,1.94430540456374,2.93002801296789,0,0
61,2.15005201844917,2.40533911797569,0,0
62,1.88970927463676,3.58849569195532,0,0
63,2.06232356228324,2.85010842093057,0,0
64,2.00547116508962,2.56549696028066,0,0
65,0.989223475534792,1.32301527538726,0,0
66,0.957965791738382,1.2271714408655,0,0
67,1.22280704450455,1.26542137939513,0,0
68,0.951910960167199,1.04606051758053,0,0
69,2.99171926593135,3.36801243237145,0,0
70,3.01888866969087,3.39283887635037,0,0
71,3.13758698987374,3.22528378381872,0,0
72,2.72500007936042,3.25055927426469,0,0
77,1.34526960447317,1.38900585498877,0,0
78,1.46891757184106,0.946611897887162,0,0
79,1.30472008341354,0.94260879279527,0,0
80,1.25009023099134,0.896749965626289,0,0
85,0,0,0.572490668302909,1.07658638850539
86,0,0,0.969719282098481,1.40442808201667
87,0,0,0.281777368717083,0.868144398425116
88,0,0,0.602398118320806,1.67221966559288
89,0.6039079956693,1.31946971965631,0,0
90,0.651263504641681,1.41997420008754,0,0
91,0.795858192623989,1.00478565340582,0,0
92,0.789264241782037,1.4634539632812,0,0
93,1.06694159420695,0.834269018928062,0,0
94,0.948119775211787,1.04423071546398,0,0
95,1.16117929935415,1.07525652137445,0,0
96,1.05427349232533,0.926479715939274,0,0
97,0.788089173577081,0.797142396225382,0,0
98,0.846678339014106,0.917408028463557,0,0
99,0.889629716237636,1.28589209837332,0,0
100,0.932518933031017,1.13464541174625,0,0
