patient,Q9H2Y7_N,Q9H2Y7_C,Q9H2Y7.2_N,Q9H2Y7.2_C
1,1.37016059328501,2.5032373380308,2.53610242040543,0.339238448384231
2,1.79892874831044,2.05149998413858,0.772022599346178,0.4282428622093
3,1.67195265815682,1.86889691988577,0.835543757264201,0.832123657329864
4,1.22275188846314,2.83214082813765,1.18683085955468,0.496999511915923
5,0.811334494604926,1.27731891421106,0.830457897009151,1.19997968288368
6,0.523196400058064,1.82896646828277,0.558211077907676,1.49273239818162
7,0.526941500943533,1.35892243673489,0.494456813429614,1.18220220610021
8,0.891452557216819,1.42344075095563,1.1877640166939,1.20849594080947
9,1.74219934094963,1.87533239337183,0,0
10,1.54953680770019,2.44825463930599,0,0
11,1.83308910924801,2.50797750264249,0,0
12,1.82384304666739,2.24554889093724,0,0
13,2.09999068086951,3.04123469814183,2.3149238221992,0.216199655212455
14,2.57047559657203,3.86756653953191,2.29439735126943,0.488124480808911
15,3.35493278937538,2.61679112581188,1.50074584870437,0.291865038602509
16,1.88439347304175,2.18497625772752,1.04529877121054,0.62998758407546
17,1.12809189767861,1.33238956502141,2.68884567353949,1.94274278065885
18,0.805668244309218,0.548773101194501,2.89314600000269,2.51406400267748
19,0.643344320486815,0.963615618661258,4.4687325750391,1.64193154893678
20,0.881211967545639,1.62550709939148,2.9381249227132,2.34719692539058
25,0.585096743020007,1.62109509037052,0,0
26,0.580315263898712,1.2653762928831,0,0
27,0.56528245600521,1.41225201504191,0,0
28,0.911184095349472,1.74282392980441,0,0
29,4.33109006099478,5.28060868873463,0,0
30,3.32677916728407,5.43376881416132,0,0
31,3.43895794530123,4.56159618304333,0,0
32,3.71488631685431,4.68183987833718,0,0
33,3.505210815297,5.62236271151881,0,0
34,3.76168938741868,5.85598444234285,0,0
35,3.69448935823497,5.71342414253675,0,0
36,2.91043452302153,5.11883349728036,0,0
37,2.10065095891821,2.81248948995654,0,0
38,1.3597732937229,3.39558285732697,0,0
39,1.72052286158299,2.76620057124141,0,0
40,1.14197016582853,2.97608759159734,0,0
41,0.964187869331794,1.18546138064056,1.62518168348268,0.895928878854159
42,0.535969209114411,1.56408888358469,1.89370634304664,0.532568969166725
43,0.548588136803919,2.48389287776489,1.58931066111621,0.559127919283144
44,0.375336753372799,1.70803767776629,2.99574543145417,0.978748324278558
45,2.71204217021317,3.9086352277008,2.04085109074807,0.839324766397368
46,2.21095646280555,8.33770285515804,2.77528059426341,0.272630537331237
47,3.04300992582113,7.33114395163474,1.96690704693741,0.47531131956117
48,2.13653595979602,5.81864478785467,2.56565725026659,0.734424985089194
51,1.88424926637133,2.64759066968637,0,0
52,1.99591434994583,2.90830962349106,0,0
53,0.729232611144368,1.32145858189106,0,0
54,0.598956647828364,1.61839033204766,0,0
55,0.66270502106288,1.59279264764503,0,0
56,0.638997648568655,1.27904809392392,0,0
61,1.54011342422954,2.15955314021121,0,0
62,1.23669255180242,2.66552496662021,0,0
63,1.48245863492093,3.07219153568421,0,0
64,1.56540237214486,2.40291516070843,0,0
65,0.946454131424854,0.970201691607027,0,0
66,1.07955200297425,0.993187099172786,0,0
67,1.69307556464355,0.954679802955665,0,0
68,1.15383399944233,0.869621712055024,0,0
77,2.17855898239291,2.87442521345763,0,0
78,2.00088307032143,3.48118123704855,0,0
79,1.59617399549304,3.38031389662351,0,0
80,1.63040374832847,2.51816232751798,0,0
81,2.0168823938477,3.48158341549238,0,0
82,2.35067317123536,2.7962340871463,0,0
83,1.89476903352357,4.39142045983985,0,0
84,2.22998762254628,3.06747446469543,0,0
86,3.56738029776423,5.90135651155688,2.79493328586734,1.49257399670654
88,2.46075880531417,9.61722790773759,3.87422658033899,1.09127056038047
89,1.00995702875722,3.18102899875422,0,0
90,0.808909276273773,3.00517784059842,0,0
91,1.43543666870465,2.5284180364466,0,0
92,1.58370949118419,3.49243993004281,0,0
93,0.738090892330383,1.04069874631268,0,0
94,0.606391961651917,0.867976585545723,0,0
95,0.259857116519174,0.83477046460177,0,0
96,0.651845501474926,1.2896017699115,0,0
97,0.430555421473508,1.24154076362408,0,0
98,0.692311467233029,1.97339544013773,0,0
99,0.693932519187141,1.86587504625831,0,0
100,0.683347814194462,1.41561680423485,0,0
