patient,Q9UBC2_N,Q9UBC2_C,Q9UBC2.2_N,Q9UBC2.2_C,Q9UBC2.4_N,Q9UBC2.4_C
1,0,0,0.840300890167856,1.564969854153,0,0
2,0,0,1.15580262348948,1.36858528923997,0,0
3,0,0,1.14881767316425,1.3630262607267,0,0
4,0,0,0.943129485066569,1.30417082129997,0,0
5,0,0,2.69028916401678,3.95614773435531,1.68743355725104,3.03684923264676
6,0,0,2.36157058109243,3.3100894467276,1.47827198506126,2.66663637313263
7,0,0,2.39419733025341,2.64149768248942,1.33859204725251,1.72074205499842
8,0,0,3.19505217980397,3.58165722663585,1.90074922928261,1.77183857656145
9,0,0,3.31376156665521,5.2876140020266,0,0
10,0,0,2.70311003138726,4.0523406062856,0,0
11,0,0,2.80946356167525,4.77677815347521,0,0
12,0,0,3.86259435268918,5.48329941472352,0,0
13,1.0001263486764,0.899684255933921,1.73257451076649,3.40127063727118,0,0
14,1.21020591005506,1.41753004928875,2.2603513927977,2.78329330306662,0,0
15,2.3183067745863,1.10015110791198,2.51260558298008,3.13678423686013,0,0
16,1.02332728391186,1.0000089337448,1.6157833444442,2.3511044238476,0,0
17,0,0,3.44583290407711,3.10451860350793,0,0
18,0,0,2.77812260567965,2.64288928816748,0,0
19,0,0,1.93213267781869,2.34571569183819,0,0
20,0,0,2.78657325156255,3.82190867841501,0,0
25,0,0,1.9695834653777,2.34068681658374,0,0
26,0,0,1.72972153949985,2.06978167740715,0,0
27,0,0,1.36417419318362,2.42253059323276,0,0
28,0,0,1.8840075614602,2.18641010258117,0,0
29,0,0,1.97723147933401,2.56396608512835,0,0
30,0,0,2.61006317511535,2.65663727403389,0,0
31,0,0,1.84358223039577,2.47197988862448,0,0
32,0,0,1.40841309044347,2.29596375189235,0,0
33,0,0,3.40775549135481,5.7569737160203,0,0
34,0,0,4.55095288047327,6.9821278723334,0,0
35,0,0,4.541877722305,5.47449671363938,0,0
36,0,0,2.51442961332805,5.29635222174547,0,0
37,0,0,2.58550410554289,2.64299963687072,0,0
38,0,0,2.02751616678724,3.48576921637061,0,0
39,0,0,1.94407044762177,2.99788867066055,0,0
40,0,0,1.50023380190371,2.71506647076328,0,0
41,0,0,3.76498922357181,3.40379103518231,0,0
42,0,0,3.09573949350434,4.07776328805941,0,0
43,0,0,2.62675581925733,2.97647154706252,0,0
44,0,0,2.53881503133593,4.05896458142956,0,0
45,0,0,2.33211378469977,2.88249740008952,0,0
46,0,0,1.6902898061122,4.49130951799029,0,0
47,0,0,2.97843633663848,3.67035840490713,0,0
48,0,0,1.50769779574153,2.64372056894187,0,0
49,0,0,0.314220759295936,0.972488772350693,0,0
50,0,0,0.728890624564144,0.742921699350052,0,0
51,0,0,1.17386119557031,1.20875756645932,0,0
52,0,0,0.849598315155234,1.46616363078468,0,0
53,0,0,2.10081469151691,2.01378253854632,0,0
54,0,0,1.9932030812267,1.75819134545329,0,0
55,0,0,1.92714935728403,3.14531228735875,0,0
56,0,0,1.86221360742298,3.11018356372031,0,0
57,0,0,1.87000537460093,2.70982643766657,0,0
58,0,0,2.14775364186454,2.12056814565801,0,0
59,0,0,2.037627053924,2.99662952765126,0,0
60,0,0,2.11562248909639,1.48784812588368,0,0
61,0,0,3.27057535194113,4.86582366803853,0,0
62,0,0,2.68920122014476,5.87587194702523,0,0
63,0,0,2.61401644146551,5.34834645377133,0,0
64,0,0,3.01720038291923,4.36502389214249,0,0
65,0,0,2.11168568926654,2.23117129918755,0,0
66,0,0,2.3390890883468,2.6209029886019,0,0
67,0,0,2.15723075674941,2.8585807860914,0,0
68,0,0,1.98187298588966,2.13852408131615,0,0
69,0,0,2.9538428586801,3.67274167628037,1.19767266439232,0.778477153241827
70,0,0,3.31908947481427,3.35289930048699,1.24429544155102,0.821199063386236
71,0,0,2.68533517896652,3.58134532712617,1.07427874528238,0.864463570567407
72,0,0,1.78150860081196,3.18450686064359,0.87354066118238,0.800121450458228
73,0,0,2.02087720517318,1.96921560503363,0.947926568283319,0.898885354546468
74,0,0,2.20955989261894,2.60563154146008,0.95068264732278,0.884064127958537
75,0,0,1.33378028262568,2.30278911320205,0.929653604940763,0.752404267408702
76,0,0,1.70314587984954,2.26280230661984,0.853710085974797,0.687155822017832
77,0,0,3.82071580392895,3.41295212786337,0,0
78,0,0,3.49913873105147,4.50753853414465,0,0
79,0,0,3.30554042187104,4.67176779537137,0,0
80,0,0,3.18376010266943,3.68565967367572,0,0
81,0,0,3.6181272325895,3.72023982797386,0,0
82,0,0,2.96730423054454,4.67635284186743,0,0
83,0,0,2.67473078427164,5.18958110863327,0,0
84,0,0,3.07044016950386,4.060109729383,0,0
85,0,0,1.92421176102598,2.32575267950835,0.683611745928102,1.46286320600718
86,0,0,2.29979725921001,3.64677164740142,0.946339826604273,1.6938368338956
87,0,0,1.02005291591547,2.49503823539989,0.270354046504879,1.16083541916059
88,0,0,1.55614725337427,3.84052277469614,0.633499292632495,1.00824355207313
89,0,0,1.23248584742001,2.90729308440612,0.762997970905714,1.57727414399573
90,0,0,1.46885541979808,3.02968968757502,1.06204194309631,0.739859935247085
91,0,0,1.70707395617572,2.2309860086965,0.823977660880462,1.1991476531839
92,0,0,1.80256256455942,2.71917359558482,0.936381851373614,1.43343107758264
93,0,0,3.66022415193737,4.15193916211224,0,0
94,0,0,3.30883831361615,4.34282725812997,0,0
95,0,0,2.36445061279149,4.38309898385853,0,0
96,0,0,3.04467450528795,4.18800249334416,0,0
97,0,0,2.44578321478193,2.34860817280589,0,0
98,0,0,2.66379528357416,3.27934817906157,0,0
99,0,0,3.04150518471715,3.63881765939117,0,0
100,0,0,2.94434242052702,4.21806051987556,0,0
